Time	Open	High	Low	Close	Volume
2022-12-16 17:00:00	16774.8	16796.9	16726.7	16759.3	2	759
2022-12-16 18:00:00	16759.6	16795	16742.2	16775.2	2	759
2022-12-16 19:00:00	16775.8	16840.3	16765.3	16829.8	2	758
2022-12-16 20:00:00	16828.7	16914.1	16821.2	16838.6	2	758
2022-12-16 21:00:00	16838.6	16855.2	16767.2	16770	2	817
2022-12-16 22:00:00	16769.9	16810.3	16632.1	16656.8	2	1292
2022-12-16 23:00:00	16656.8	16672.2	16466.5	16569.2	2	1291
2022-12-17 00:00:00	16569.1	16668.6	16537.6	16646	2	1285
2022-12-17 01:00:00	16645.2	16663.3	16597.8	16608	2	1290
2022-12-17 02:00:00	16608	16622.3	16521.9	16598.8	2	1290
2022-12-17 03:00:00	16598.8	16645.1	16585.8	16615.4	2	1291
2022-12-17 04:00:00	16615.5	16660.8	16595.8	16647.5	2	1290
2022-12-17 05:00:00	16649.7	16674.3	16617.7	16630.5	2	1289
2022-12-17 06:00:00	16630.2	16710.6	16610.8	16651.5	2	1291
2022-12-17 07:00:00	16651.8	16689.9	16620.6	16685.4	2	1294
2022-12-17 08:00:00	16710.9	16716.5	16672	16687.3	2	817
2022-12-17 09:00:00	16687.6	16696.8	16641.3	16660	2	817
2022-12-17 10:00:00	16661.2	16717.5	16633.7	16698.6	2	817
2022-12-17 11:00:00	16698.5	16713.6	16655.5	16669.2	2	817
2022-12-17 12:00:00	16669.2	16687.9	16633.7	16654.5	2	817
2022-12-17 13:00:00	16654.6	16668.3	16620.3	16633.3	2	817
2022-12-17 14:00:00	16633.2	16674.5	16610.4	16613.3	2	817
2022-12-17 15:00:00	16610.9	16669.1	16610.1	16662.5	2	817
2022-12-17 16:00:00	16662.8	16664.4	16644.7	16659.2	2	817
2022-12-17 17:00:00	16659.4	16667.5	16618.3	16637.9	2	817
2022-12-17 18:00:00	16639.4	16687.8	16626.4	16671.1	2	817
2022-12-17 19:00:00	16671.5	16690.7	16655	16661.9	2	817
2022-12-17 20:00:00	16662	16680.5	16653.8	16669.2	2	817
2022-12-17 21:00:00	16669.3	16695.5	16664.8	16675.8	2	817
2022-12-17 22:00:00	16650.9	16724	16647.2	16703.9	2	1291
2022-12-17 23:00:00	16703.9	16757.7	16691.4	16744.2	2	817
2022-12-18 00:00:00	16744.3	16753.3	16690.6	16709.7	2	817
2022-12-18 01:00:00	16708.1	16710.8	16670	16680.4	2	817
2022-12-18 02:00:00	16678.5	16697.9	16671.8	16696.6	2	817
2022-12-18 03:00:00	16696.5	16704.2	16689.2	16702	2	817
2022-12-18 04:00:00	16702.2	16761.8	16699.5	16724.4	2	817
2022-12-18 05:00:00	16724.2	16728.8	16700.2	16702	2	817
2022-12-18 06:00:00	16702.1	16705.1	16684.1	16696	2	817
2022-12-18 07:00:00	16696.5	16718.9	16694	16709.8	2	817
2022-12-18 08:00:00	16709.8	16724.9	16701.9	16719.1	2	817
2022-12-18 09:00:00	16719.2	16721.1	16628.8	16667.1	2	817
